NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Other_desigs,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
,,,18.5,0.15,45.0,0.17,3.0,2017-2020,M-v,38h,,,2017 FN172,,2459000.5,341.58029,291.21756,278.60728,4.21965,0.1604791,0.3034427,2.1932338,E2020-E12,2,Veres,0000,2020-02-15,2459061.20243,3.2480851,1.8412656,2.545202,1.0683751,1.444823,MBA
,,,17.5,0.15,158.0,0.36,0,2004-2019,M-v,38h,(382860),,2004 FT84,,2459200.5,260.28312,32.36744,168.12983,5.43291,0.036061,0.28039175,2.3118477,MPO494955,9,Williams,0000,2019-09-23,2459556.13421,3.5151093,2.2284802,2.3952152,1.1544207,1.397597,MBA
,,,15.31,0.15,612.0,0.52,0,1996-2021,M-v,3Ek,(103447),,2000 AD191,,2459200.5,283.17457,353.53776,149.02217,13.71462,0.2287202,0.22856402,2.649298,E2021-B55,15,Pan,0000,2021-01-13,2459536.62218,4.3121734,2.04335,3.255246,1.2553527,1.3019166,MBA
,,,18.2,0.15,29.0,0.17,2,2015-2019,M-v,38h,,,2015 XM225,,2459000.5,64.5987,270.05496,80.37711,8.15046,0.157904,0.22002664,2.7173935,E2020-N32,3,Veres,0000,2019-10-27,2458706.90504,4.4794923,2.2883062,3.1464808,1.3248194,1.2873982,MBA
,,,18.3,0.15,16.0,0.42,,,,,,,2016 UU40,,2457680.5,359.47363,35.50752,9.63674,5.67936,0.1383462,0.27101281,2.3648822,MPO397884,1,MPCMEL,2000,2016-11-18,2457682.44223,3.6367569,2.0377097,2.6920547,1.1598096,1.3792538,MBA
,,,17.0,0.15,164.0,0.33,0,1995-2020,M-v,38h,(311661),,2006 SQ15,,2459200.5,72.00002,71.60817,339.47031,5.81464,0.1625967,0.22785711,2.6547747,MPO534320,10,MPCW,0000,2020-01-28,2458884.51239,4.3255517,2.2231171,3.0864323,1.2922943,1.300702,MBA
,,,16.1,0.15,310.0,0.4,0,2002-2018,M-v,38h,(339135),,2004 SP16,,2459200.5,44.15724,21.81731,33.00854,13.06188,0.1866785,0.25694919,2.450405,MPO450294,9,MPCLINUX,0007,2018-05-09,2459028.64791,3.8358075,1.9929671,2.9078429,1.1825056,1.3526332,Phocaea
,,,15.25,0.15,564.0,0.53,0,2002-2020,M-v,3Ek,(164167),,2004 AJ7,,2459200.5,110.28588,205.40124,227.5601,7.88807,0.074286,0.19062406,2.9900899,E2021-B55,16,Pan,0000,2020-04-22,2458621.94809,5.1704265,2.7679681,3.2122117,1.4867947,1.2397836,MBA
,,,15.63,0.15,1301.0,0.5,0,1979-2020,M-v,3Ek,(35740),,1999 GK24,,2459200.5,29.28292,128.99025,152.59091,3.33611,0.1684533,0.28568467,2.2832042,E2021-B10,20,Pan,0000,2020-08-22,2459097.99913,3.4499844,1.8985909,2.6678175,1.1092074,1.4081659,MBA
,,,17.0,0.15,328.0,0.35,0,1999-2019,M-v,38h,(211693),,2003 WY133,,2459200.5,92.11051,129.9052,247.37956,1.96937,0.1726094,0.24059076,2.5602561,MPO494170,12,Williams,0000,2019-10-05,2458817.6485,4.0966147,2.1183318,3.0021804,1.2419879,1.3229333,MBA
,,,15.68,0.15,253.0,0.47,0,2007-2020,M-v,3Ek,(435334),,2007 VR49,,2459200.5,107.56997,209.90527,253.89258,12.13508,0.1219922,0.18129289,3.0918295,E2021-B25,8,Pan,0000,2020-04-27,2458607.15062,5.436549,2.7146504,3.4690086,1.5229083,1.2254004,MBA
,,,17.6,0.15,106.0,0.42,0,2003-2018,M-v,38h,(489656),,2007 UP53,,2459200.5,247.93562,255.4115,37.71119,4.77837,0.2610534,0.25985353,2.4321123,MPO460759,9,MPCLINUX,0000,2018-10-12,2459631.75984,3.7929353,1.7972011,3.0670235,1.1331833,1.3580462,MBA
,,,17.8,0.15,80.0,0.36,0.0,2008-2020,M-v,38h,,,2016 ET151,,2459000.5,72.02942,294.28137,178.96785,5.16761,0.127718,0.2406205,2.5600452,MPO544820,6,MPCLINUX,0400,2020-04-02,2458701.15136,4.0961085,2.2330813,2.8870091,1.259143,1.3229861,MBA
,,,13.96,0.15,1600.0,0.51,0,1996-2020,M-v,3Ek,(25199),Jiahegu,1998 SB139,['2000 AB126'],2459200.5,291.10222,116.87136,251.85742,3.3411,0.0869861,0.21180676,2.7872516,E2021-B10,18,Pan,0000,2020-09-11,2459525.78612,4.6533344,2.5447995,3.0297037,1.3830808,1.2737226,MBA
,,,17.4,0.15,74.0,0.26,0.0,2014-2020,M-v,38h,,,2017 YG23,,2459200.5,94.53114,351.44849,283.85792,7.53899,0.1878941,0.22873756,2.6479578,E2020-UK5,4,MPCLINUX,0400,2020-10-23,2458787.22653,4.3089017,2.1504222,3.1454934,1.2772369,1.3022151,MBA
,,,16.4,0.15,42.0,0.22,0.0,2016-2020,M-v,38h,,,2016 CL331,,2459200.5,56.75917,223.29418,117.16043,12.63123,0.0996274,0.15065567,3.4979404,E2020-X69,4,MPCLINUX,0400,2020-12-07,2458823.75217,6.5421215,3.1494497,3.8464311,1.7316106,1.1804363,MBA
,,,15.2,0.15,1228.0,0.5,0,1993-2020,M-v,3Ek,(33448),Aaronyeiser,1999 FT24,['2000 PL24'],2459200.5,359.74722,246.72714,6.52084,5.6382,0.042378,0.27967732,2.3157831,E2021-B10,17,Pan,0000,2020-05-23,2459201.40383,3.5240886,2.2176448,2.4139214,1.1558121,1.3961826,MBA
